"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
59185,-9677,1000000,0,1,1,1,1,0,1,1
59188,-9674,1000000,0,1,1,1,1,1,1,1
68858,-4,1000000,0,1,1,1,1,1,0,1
68863,1,1000000,0,1,1,1,1,1,0,0
68873,11,1000000,0,1,1,1,1,1,0,1
68878,16,1000000,0,1,1,1,1,1,1,0
68883,21,1000000,0,1,1,1,1,1,1,1
68888,26,1000000,0,1,1,1,1,1,0,0
68893,31,1000000,0,1,1,1,1,1,0,1
68898,36,1000000,0,1,1,1,1,1,1,0
68903,41,1000000,0,1,1,1,1,1,1,1
68908,46,1000000,0,1,1,1,1,1,0,0
68913,51,1000000,0,1,1,1,1,1,0,1
68918,56,1000000,0,1,1,1,1,1,0,0
68923,61,1000000,0,1,1,1,1,1,0,1
68928,66,1000000,0,1,1,1,1,1,1,0
68933,71,1000000,0,1,1,1,1,1,1,1
68938,76,1000000,0,1,1,1,1,1,0,0
68943,81,1000000,0,1,1,1,1,1,0,1
68948,86,1000000,0,1,1,1,1,1,0,0
68953,91,1000000,0,1,1,1,1,1,0,1
68958,96,1000000,0,1,1,1,1,1,1,0
68963,101,1000000,0,1,1,1,1,1,1,1
68968,106,1000000,0,1,1,1,1,1,0,0
68973,111,1000000,0,1,1,1,1,1,0,1
68978,116,1000000,0,1,1,1,1,1,0,0
68983,121,1000000,0,1,1,1,1,1,0,1
68988,126,1000000,0,1,1,1,1,1,1,0
68993,131,1000000,0,1,1,1,1,1,1,1
68998,136,1000000,0,1,1,1,1,1,0,0
69003,141,1000000,0,1,1,1,1,1,0,1
69008,146,1000000,0,1,1,1,1,1,0,0
69013,151,1000000,0,1,1,1,1,1,0,1
69018,156,1000000,0,1,1,1,1,1,1,0
69023,161,1000000,0,1,1,1,1,1,1,1
69028,166,1000000,0,1,1,1,1,1,0,0
69033,171,1000000,0,1,1,1,1,1,0,1
69038,176,1000000,0,1,1,1,1,1,0,0
69043,181,1000000,0,1,1,1,1,1,0,1
69048,186,1000000,0,1,1,1,1,1,0,0
69053,191,1000000,0,1,1,1,1,1,0,1
