"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
68546,-1134,1000000,0,1,1,1,1,0,1,1
68554,-1126,1000000,0,1,1,1,1,1,1,1
68558,-1122,1000000,0,1,1,1,1,0,1,1
69286,-394,1000000,0,1,1,1,0,0,1,1
69287,-393,1000000,0,1,1,1,1,0,1,1
69291,-389,1000000,0,1,1,1,0,0,1,1
69299,-381,1000000,0,1,1,1,1,0,1,1
69300,-380,1000000,0,1,1,1,0,0,1,1
69492,-188,1000000,0,1,1,0,0,0,1,1
69581,-99,1000000,0,1,0,0,0,0,1,1
69676,-4,1000000,0,0,0,0,0,0,0,1
69681,1,1000000,0,0,0,0,0,0,0,0
69691,11,1000000,0,0,0,0,0,0,0,1
69696,16,1000000,0,0,0,0,0,0,1,0
69701,21,1000000,0,1,0,0,0,0,1,1
69706,26,1000000,0,0,0,0,0,0,0,0
69711,31,1000000,0,0,0,0,0,0,0,1
69716,36,1000000,0,0,0,0,0,0,1,0
69721,41,1000000,0,1,0,0,0,0,1,1
69726,46,1000000,0,0,0,0,0,0,0,0
69731,51,1000000,0,0,0,0,0,0,0,1
69736,56,1000000,0,0,0,0,0,0,0,0
69741,61,1000000,0,0,0,0,0,0,0,1
69746,66,1000000,0,0,0,0,0,0,1,0
69751,71,1000000,0,0,0,0,0,0,1,1
69756,76,1000000,0,0,0,0,0,0,0,0
69761,81,1000000,0,0,0,0,0,0,0,1
69766,86,1000000,0,0,0,0,0,0,0,0
69771,91,1000000,0,0,0,0,0,0,0,1
69776,96,1000000,0,0,0,0,0,0,1,0
69781,101,1000000,0,0,0,0,0,0,1,1
69786,106,1000000,0,0,0,0,0,0,0,0
69791,111,1000000,0,0,0,0,0,0,0,1
69796,116,1000000,0,0,0,0,0,0,0,0
69801,121,1000000,0,0,0,0,0,0,0,1
69806,126,1000000,0,0,0,0,0,0,1,0
69811,131,1000000,0,0,0,0,0,0,1,1
69816,136,1000000,0,0,0,0,0,0,0,0
69821,141,1000000,0,0,0,0,0,0,0,1
69826,146,1000000,0,0,0,0,0,0,0,0
69831,151,1000000,0,0,0,0,0,0,0,1
69836,156,1000000,0,0,0,0,0,0,1,0
69841,161,1000000,0,0,0,0,0,0,1,1
69846,166,1000000,0,0,0,0,0,0,0,0
69851,171,1000000,0,0,0,0,0,0,0,1
69856,176,1000000,0,0,0,0,0,0,0,0
69861,181,1000000,0,0,0,0,0,0,0,1
69866,186,1000000,0,0,0,0,0,0,0,0
69871,191,1000000,0,0,0,0,0,0,0,1
69876,196,1000000,0,0,0,0,0,0,1,1
69892,212,1000000,0,0,0,0,0,0,0,1
69897,217,1000000,0,0,0,0,0,0,0,0
69907,227,1000000,0,0,0,0,0,0,0,1
69912,232,1000000,0,0,0,0,0,0,1,0
69917,237,1000000,0,0,0,0,0,0,1,1
69922,242,1000000,0,0,0,0,0,0,0,0
69927,247,1000000,0,0,0,0,0,0,0,1
69932,252,1000000,0,0,0,0,0,0,1,0
69937,257,1000000,0,0,0,0,0,0,1,1
69942,262,1000000,0,0,0,0,0,0,0,0
69947,267,1000000,0,0,0,0,0,0,0,1
69952,272,1000000,0,0,0,0,0,0,0,0
69957,277,1000000,0,0,0,0,0,0,0,1
69962,282,1000000,0,0,0,0,0,0,1,0
69967,287,1000000,0,0,0,0,0,0,1,1
69972,292,1000000,0,0,0,0,0,0,1,0
69977,297,1000000,0,0,0,0,0,0,1,1
69982,302,1000000,0,0,0,0,0,0,0,0
69987,307,1000000,0,0,0,0,0,0,0,1
69992,312,1000000,0,0,0,0,0,0,0,0
69997,317,1000000,0,0,0,0,0,0,0,1
70002,322,1000000,0,0,0,0,0,0,1,0
70007,327,1000000,0,0,0,0,0,0,1,1
70012,332,1000000,0,0,0,0,0,0,0,0
70017,337,1000000,0,0,0,0,0,0,0,1
70022,342,1000000,0,0,0,0,0,0,0,0
70027,347,1000000,0,0,0,0,0,0,0,1
70032,352,1000000,0,0,0,0,0,0,0,0
70037,357,1000000,0,0,0,0,0,0,0,1
70042,362,1000000,0,0,0,0,0,0,1,0
70047,367,1000000,0,0,0,0,0,0,1,1
70052,372,1000000,0,0,0,0,0,0,0,0
70057,377,1000000,0,0,0,0,0,0,0,1
70062,382,1000000,0,0,0,0,0,0,0,0
70067,387,1000000,0,0,0,0,0,0,0,1
70072,392,1000000,0,0,0,0,0,0,1,0
70077,397,1000000,0,0,0,0,0,0,1,1
70082,402,1000000,0,0,0,0,0,0,0,0
70087,407,1000000,0,0,0,0,0,0,0,1
70092,412,1000000,0,0,0,0,0,0,1,1
70630,950,1000000,0,0,0,0,0,0,0,1
70635,955,1000000,0,0,0,0,0,0,0,0
70645,965,1000000,0,0,0,0,0,0,0,1
70650,970,1000000,0,0,0,0,0,0,0,0
70651,971,1000000,0,0,0,0,0,0,1,0
70655,975,1000000,0,0,0,0,0,0,1,1
70660,980,1000000,0,0,0,0,0,0,0,0
70665,985,1000000,0,0,0,0,0,0,0,1
70670,990,1000000,0,0,0,0,0,0,0,0
70671,991,1000000,0,0,0,0,0,0,1,0
70675,995,1000000,0,0,0,0,0,0,1,1
70680,1000,1000000,0,0,0,0,0,0,0,0
70685,1005,1000000,0,0,0,0,0,0,0,1
70690,1010,1000000,0,0,0,0,0,0,0,0
70695,1015,1000000,0,0,0,0,0,0,0,1
70700,1020,1000000,0,0,0,0,0,0,0,0
70701,1021,1000000,0,0,0,0,0,0,1,0
70705,1025,1000000,0,0,0,0,0,0,1,1
70710,1030,1000000,0,0,0,0,0,0,0,0
70715,1035,1000000,0,0,0,0,0,0,0,1
70720,1040,1000000,0,0,0,0,0,0,0,0
70725,1045,1000000,0,0,0,0,0,0,0,1
70730,1050,1000000,0,0,0,0,0,0,1,0
70735,1055,1000000,0,0,0,0,0,0,1,1
70740,1060,1000000,0,0,0,0,0,0,0,0
70745,1065,1000000,0,0,0,0,0,0,0,1
70750,1070,1000000,0,0,0,0,0,0,0,0
70755,1075,1000000,0,0,0,0,0,0,0,1
70760,1080,1000000,0,0,0,0,0,0,0,0
70765,1085,1000000,0,0,0,0,0,0,0,1
70770,1090,1000000,0,0,0,0,0,0,0,0
70775,1095,1000000,0,0,0,0,0,0,0,1
70780,1100,1000000,0,0,0,0,0,0,0,0
70785,1105,1000000,0,0,0,0,0,0,0,1
70790,1110,1000000,0,0,0,0,0,0,0,0
70795,1115,1000000,0,0,0,0,0,0,0,1
70800,1120,1000000,0,0,0,0,0,0,0,0
70801,1121,1000000,0,0,0,0,0,0,1,0
70805,1125,1000000,0,0,0,0,0,0,1,1
70810,1130,1000000,0,0,0,0,0,0,0,0
70815,1135,1000000,0,0,0,0,0,0,0,1
70820,1140,1000000,0,0,0,0,0,0,1,0
70825,1145,1000000,0,0,0,0,0,0,1,1
70830,1150,1000000,0,0,0,0,0,0,1,0
70835,1155,1000000,0,0,0,0,0,0,1,1
70840,1160,1000000,0,0,0,0,0,0,1,0
70845,1165,1000000,0,0,0,0,0,0,1,1
70850,1170,1000000,0,0,0,0,0,0,1,0
70855,1175,1000000,0,0,0,0,0,0,1,1
70860,1180,1000000,0,0,0,0,0,0,1,0
70865,1185,1000000,0,0,0,0,0,0,1,1
70870,1190,1000000,0,0,0,0,0,0,1,0
70875,1195,1000000,0,0,0,0,0,0,1,1
70880,1200,1000000,0,0,0,0,0,0,1,0
70885,1205,1000000,0,0,0,0,0,0,1,1
70890,1210,1000000,0,0,0,0,0,0,1,0
70895,1215,1000000,0,0,0,0,0,0,1,1
70900,1220,1000000,0,0,0,0,0,0,0,0
70905,1225,1000000,0,0,0,0,0,0,0,1
70910,1230,1000000,0,0,0,0,0,0,0,0
70915,1235,1000000,0,0,0,0,0,0,0,1
70920,1240,1000000,0,0,0,0,0,0,1,1
71267,1587,1000000,0,0,0,0,0,0,0,1
71272,1592,1000000,0,0,0,0,0,0,0,0
71282,1602,1000000,0,0,0,0,0,0,0,1
71287,1607,1000000,0,0,0,0,0,0,1,0
71292,1612,1000000,0,0,0,0,0,0,1,1
71297,1617,1000000,0,0,0,0,0,0,0,0
71302,1622,1000000,0,0,0,0,0,0,0,1
71307,1627,1000000,0,0,0,0,0,0,1,0
71312,1632,1000000,0,0,0,0,0,0,1,1
71317,1637,1000000,0,0,0,0,0,0,0,0
71322,1642,1000000,0,0,0,0,0,0,0,1
71327,1647,1000000,0,0,0,0,0,0,0,0
71332,1652,1000000,0,0,0,0,0,0,0,1
71337,1657,1000000,0,0,0,0,0,0,1,0
71342,1662,1000000,0,0,0,0,0,0,1,1
71347,1667,1000000,0,0,0,0,0,0,0,0
71352,1672,1000000,0,0,0,0,0,0,0,1
71357,1677,1000000,0,0,0,0,0,0,0,0
71362,1682,1000000,0,0,0,0,0,0,0,1
71367,1687,1000000,0,0,0,0,0,0,1,0
71372,1692,1000000,0,0,0,0,0,0,1,1
71377,1697,1000000,0,0,0,0,0,0,0,0
71382,1702,1000000,0,0,0,0,0,0,0,1
71387,1707,1000000,0,0,0,0,0,0,0,0
71392,1712,1000000,0,0,0,0,0,0,0,1
71397,1717,1000000,0,0,0,0,0,0,0,0
71402,1722,1000000,0,0,0,0,0,0,0,1
71407,1727,1000000,0,0,0,0,0,0,1,0
71412,1732,1000000,0,0,0,0,0,0,1,1
71417,1737,1000000,0,0,0,0,0,0,1,0
71422,1742,1000000,0,0,0,0,0,0,1,1
71427,1747,1000000,0,0,0,0,0,0,1,0
71432,1752,1000000,0,0,0,0,0,0,1,1
71437,1757,1000000,0,0,0,0,0,0,1,0
71442,1762,1000000,0,0,0,0,0,0,1,1
71447,1767,1000000,0,0,0,0,0,0,0,0
71452,1772,1000000,0,0,0,0,0,0,0,1
71457,1777,1000000,0,0,0,0,0,0,0,0
71462,1782,1000000,0,0,0,0,0,0,0,1
71467,1787,1000000,0,0,0,0,0,0,0,0
71472,1792,1000000,0,0,0,0,0,0,0,1
71477,1797,1000000,0,0,0,0,0,0,0,0
71482,1802,1000000,0,0,0,0,0,0,0,1
71487,1807,1000000,0,0,0,0,0,0,0,0
71492,1812,1000000,0,0,0,0,0,0,0,1
71497,1817,1000000,0,0,0,0,0,0,0,0
71502,1822,1000000,0,0,0,0,0,0,0,1
71507,1827,1000000,0,0,0,0,0,0,0,0
71512,1832,1000000,0,0,0,0,0,0,0,1
71517,1837,1000000,0,0,0,0,0,0,0,0
71522,1842,1000000,0,0,0,0,0,0,0,1
71527,1847,1000000,0,0,0,0,0,0,1,0
71532,1852,1000000,0,0,0,0,0,0,1,1
71537,1857,1000000,0,0,0,0,0,0,0,0
71542,1862,1000000,0,0,0,0,0,0,0,1
71547,1867,1000000,0,0,0,0,0,0,0,0
71552,1872,1000000,0,0,0,0,0,0,0,1
71557,1877,1000000,0,0,0,0,0,0,1,1
71872,2192,1000000,0,0,0,0,0,0,0,1
71877,2197,1000000,0,0,0,0,0,0,0,0
71888,2208,1000000,0,0,0,0,0,0,0,1
71892,2212,1000000,0,0,0,0,0,0,0,0
71893,2213,1000000,0,0,0,0,0,0,1,0
71898,2218,1000000,0,0,0,0,0,0,1,1
71902,2222,1000000,0,0,0,0,0,0,1,0
71903,2223,1000000,0,0,0,0,0,0,0,0
71908,2228,1000000,0,0,0,0,0,0,0,1
71912,2232,1000000,0,0,0,0,0,0,0,0
71913,2233,1000000,0,0,0,0,0,0,1,0
71918,2238,1000000,0,0,0,0,0,0,1,1
71922,2242,1000000,0,0,0,0,0,0,1,0
71923,2243,1000000,0,0,0,0,0,0,0,0
71928,2248,1000000,0,0,0,0,0,0,0,1
71932,2252,1000000,0,0,0,0,0,0,0,0
71938,2258,1000000,0,0,0,0,0,0,0,1
71942,2262,1000000,0,0,0,0,0,0,0,0
71943,2263,1000000,0,0,0,0,0,0,1,0
71948,2268,1000000,0,0,0,0,0,0,1,1
